fine_label	utterance
UNK:UNK	Encaminhado por Phillip K Allen/HOU/ECT em 09/10/2000 14h16 ----- Richard Burchfield 06/10/2000 06h59 Para: Phillip K Allen/HOU/ECT@ECT cc: Beth Perlman /HOU/ECT@ECT Assunto: Posições consolidadas: Lista de problemas e tarefas Phillip, Abaixo estão as questões e listas de tarefas à medida que avançamos na documentação dos requisitos para posições físicas/financeiras consolidadas e captura de comércio de transporte. Precisamos nos concentrar no primeiro item da lista de Allans; a necessidade de um único conjunto de requisitos. Embora a reunião com Keith, na quarta-feira, tenha sido informativa, a solução de criar uma tela de posição consolidada infinitamente dinâmica será extremamente difícil e demorada. Ao longo da reunião de quarta-feira, Keith aludiu à incapacidade de obter consenso entre os traders sobre a apresentação da posição consolidada, pelo que a solução foi fazer com que o trader pudesse organizar o ecrã de posição ao seu gosto (tal como o Excel). O que precisa acontecer na segunda-feira, das 3 às 5, é um esforço para projetar um layout desejado para a tela de posição consolidada, isso é fundamental. Isto não exclui a criação de uma capacidade para criar uma apresentação de posição mais flexível para o futuro, mas para criar um plano que possa ser medido, precisamos de requisitos firmes. Além disso, reiterar que os objectivos deste projecto são um plano de projecto para consolidar as posições físicas/financeiras e capturar o comércio de transportes. As outras questões levantadas serão captadas como projetos em si mesmas e precisarão ser priorizadas como esforços fora deste projeto. Estive envolvido na maioria das reuniões e as discussões foram boas. Acredito que tem havido uma boa comunicação entre as equipas, mas agora precisamos de ter foco nos objetivos que nos propusemos a resolver. Richard Encaminhado por Richard Burchfield/HOU/ECT em 06/10/2000 08h34 ----- Allan Severude 05/10/2000 18h03 Para: Richard Burchfield/HOU/ECT@ECT cc: Peggy Alix/ HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT, Scott Mills/HOU/ECT@ECT, Kenny Ha/HOU/ECT@ECT Assunto: Posições consolidadas: Questões e lista de tarefas Do nosso conjunto inicial de reuniões com o traders em relação às posições consolidadas, acho que ainda temos os seguintes problemas: Não temos um único ponto de contato do grupo comercial. Tivemos três reuniões que trouxeram questões muito diferentes de diferentes traders. Nós realmente precisamos de um único ponto de contato para ajudar a orientar os requisitos do comerciante e ajudar a chegar a um consenso em relação aos requisitos. Estamos recebendo muitos pedidos diferentes, muitos dos quais parecem estar fora do escopo da consolidação de posições. Coisas que faltam fazer: Acho que pode ser útil tentar formular uma meta de projeto de alto nível para deixar o mais claro possível o que estamos tentando realizar com este projeto. Isso ajudará a determinar quais solicitações se enquadram no escopo do projeto. Percorra a lista de solicitações para determinar quais estão no escopo deste projeto e quais estão fora do escopo. Para aqueles que estão no escopo, trabalhe para definir a importância relativa (prioridade) de cada um e trabalhe com os traders para definir os requisitos exatos de cada um. Defina o layout desejado da tela do gerenciador de posição: visualização principal e todos os detalhamentos. Use o acima para formular um plano de projeto. Coisas solicitadas até agora (sem ordem específica): Inclusão de negociações físicas do Sitara no gerenciador de posição TDS e no ticker de negociação. Linhas e colunas personalizadas no gerenciador de posição (linhas/colunas ad hoc que somam linhas/colunas existentes do gerenciador de posição). Novo detalhamento no gerenciador de posições para desagregar as posições por: físico, transporte, swaps, opções, ... Adição de uma aba de curva ao gerenciador de posições para mostrar os valores em tempo real de todas as curvas nas quais a mesa tem posição . Capacidade de dividir a grade de posições atual para permitir que as posições diárias sejam mostradas diretamente acima das posições mensais. Cada coluna agrupada na grade superior seria vinculada a uma coluna agrupada na grade inferior. Capacidade de mostrar adequadamente a mudança de curva para negócios float-for-float; determine as posições apropriadas a serem mostradas para cada um: Gás Diário para índice mensal, Gás Físico para Nymex, Gás Físico para Inside Ferc, Gás Físico para Mercado Médio. Capacidade do TDS extrair resultados de avaliação com base em um sinalizador TDS em vez de usar avaliações oficiais. Agregação de posição e P&L em todas as mesas de gás. Possibilidade de inclusão do livro de Preços do Gás no TDS: Inclusão de opções de spread em nossos sistemas. Capacidade de lidar com distorções e correlações de volatilidade. Capacidade de reavaliar todas as opções de forma incremental ao longo do dia de negociação. Alterações delta aproximadas entre avaliações usando gama instantânea ou uma grade gama. Avaliação de opções de Gás Diário. Uma nova tela de posição para opções (meses x strike x delta). A definir. Inclusão de posições de opções exóticas atualmente gerenciadas em planilhas. Capacidade de isolar a mudança de posição devido a negociações alteradas no gerente de posição. Capacidade de visualizar o P&L da transação alterada no ticker da transação TDS. Mostre os termos do novo acordo, os termos do acordo anterior e o efeito líquido da mudança no lucro e prejuízo. Elimine acordos de alteração sem impacto econômico do ticker de negócios do TDS. Faça um detalhamento de posição no gerenciador de posição para isolar o impacto de negócios individuais no total da posição em uma célula da grade. Posições de referência em TDS. Implantação de TDS no Canadá. Conversões de moeda e volume. A posição implícita e explícita resolve os problemas. - Allan. PS: Colleen está marcando uma reunião amanhã para discutir a direção do transporte. Esperamos que saibamos muito melhor onde essa parte está nesse ponto.
UNK:UNK	Encaminhado por Phillip K Allen/HOU/ECT em 09/10/2000 14h00 ----- Richard Burchfield 06/10/2000 06h59 Para: Phillip K Allen/HOU/ECT@ECT cc: Beth Perlman /HOU/ECT@ECT Assunto: Posições consolidadas: Lista de problemas e tarefas Phillip, Abaixo estão as questões e listas de tarefas à medida que avançamos na documentação dos requisitos para posições físicas/financeiras consolidadas e captura de comércio de transporte. Precisamos nos concentrar no primeiro item da lista de Allans; a necessidade de um único conjunto de requisitos. Embora a reunião com Keith, na quarta-feira, tenha sido informativa, a solução de criar uma tela de posição consolidada infinitamente dinâmica será extremamente difícil e demorada. Ao longo da reunião de quarta-feira, Keith aludiu à incapacidade de obter consenso entre os traders sobre a apresentação da posição consolidada, pelo que a solução foi fazer com que o trader pudesse organizar o ecrã de posição ao seu gosto (tal como o Excel). O que precisa acontecer na segunda-feira, das 3 às 5, é um esforço para projetar um layout desejado para a tela de posição consolidada, isso é fundamental. Isto não exclui a criação de uma capacidade para criar uma apresentação de posição mais flexível para o futuro, mas para criar um plano que possa ser medido, precisamos de requisitos firmes. Além disso, reiterar que os objectivos deste projecto são um plano de projecto para consolidar as posições físicas/financeiras e capturar o comércio de transportes. As outras questões levantadas serão captadas como projetos em si mesmas e precisarão ser priorizadas como esforços fora deste projeto. Estive envolvido na maioria das reuniões e as discussões foram boas. Acredito que tem havido uma boa comunicação entre as equipas, mas agora precisamos de ter foco nos objetivos que nos propusemos a resolver. Richard Encaminhado por Richard Burchfield/HOU/ECT em 06/10/2000 08h34 ----- Allan Severude 05/10/2000 18h03 Para: Richard Burchfield/HOU/ECT@ECT cc: Peggy Alix/ HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT, Scott Mills/HOU/ECT@ECT, Kenny Ha/HOU/ECT@ECT Assunto: Posições consolidadas: Questões e lista de tarefas Do nosso conjunto inicial de reuniões com o traders em relação às posições consolidadas, acho que ainda temos os seguintes problemas: Não temos um único ponto de contato do grupo comercial. Tivemos três reuniões que trouxeram questões muito diferentes de diferentes traders. Nós realmente precisamos de um único ponto de contato para ajudar a orientar os requisitos do comerciante e ajudar a chegar a um consenso em relação aos requisitos. Estamos recebendo muitos pedidos diferentes, muitos dos quais parecem estar fora do escopo da consolidação de posições. Coisas que faltam fazer: Acho que pode ser útil tentar formular uma meta de projeto de alto nível para deixar o mais claro possível o que estamos tentando realizar com este projeto. Isso ajudará a determinar quais solicitações se enquadram no escopo do projeto. Percorra a lista de solicitações para determinar quais estão no escopo deste projeto e quais estão fora do escopo. Para aqueles que estão no escopo, trabalhe para definir a importância relativa (prioridade) de cada um e trabalhe com os traders para definir os requisitos exatos de cada um. Defina o layout desejado da tela do gerenciador de posição: visualização principal e todos os detalhamentos. Use o acima para formular um plano de projeto. Coisas solicitadas até agora (sem ordem específica): Inclusão de negociações físicas do Sitara no gerenciador de posição TDS e no ticker de negociação. Linhas e colunas personalizadas no gerenciador de posição (linhas/colunas ad hoc que somam linhas/colunas existentes do gerenciador de posição). Novo detalhamento no gerenciador de posições para desagregar as posições por: físico, transporte, swaps, opções, ... Adição de uma aba de curva ao gerenciador de posições para mostrar os valores em tempo real de todas as curvas nas quais a mesa tem posição . Capacidade de dividir a grade de posições atual para permitir que as posições diárias sejam mostradas diretamente acima das posições mensais. Cada coluna agrupada na grade superior seria vinculada a uma coluna agrupada na grade inferior. Capacidade de mostrar adequadamente a mudança de curva para negócios float-for-float; determine as posições apropriadas a serem mostradas para cada um: Gás Diário para índice mensal, Gás Físico para Nymex, Gás Físico para Inside Ferc, Gás Físico para Mercado Médio. Capacidade do TDS extrair resultados de avaliação com base em um sinalizador TDS em vez de usar avaliações oficiais. Agregação de posição e P&L em todas as mesas de gás. Possibilidade de inclusão do livro de Preços do Gás no TDS: Inclusão de opções de spread em nossos sistemas. Capacidade de lidar com distorções e correlações de volatilidade. Capacidade de reavaliar todas as opções de forma incremental ao longo do dia de negociação. Alterações delta aproximadas entre avaliações usando gama instantânea ou uma grade gama. Avaliação de opções de Gás Diário. Uma nova tela de posição para opções (meses x strike x delta). A definir. Inclusão de posições de opções exóticas atualmente gerenciadas em planilhas. Capacidade de isolar a mudança de posição devido a negociações alteradas no gerente de posição. Capacidade de visualizar o P&L da transação alterada no ticker da transação TDS. Mostre os termos do novo acordo, os termos do acordo anterior e o efeito líquido da mudança no lucro e prejuízo. Elimine acordos de alteração sem impacto econômico do ticker de negócios do TDS. Faça um detalhamento de posição no gerenciador de posição para isolar o impacto de negócios individuais no total da posição em uma célula da grade. Posições de referência em TDS. Implantação de TDS no Canadá. Conversões de moeda e volume. A posição implícita e explícita resolve os problemas. - Allan. PS: Colleen está marcando uma reunião amanhã para discutir a direção do transporte. Esperamos que saibamos muito melhor onde essa parte está nesse ponto.
UNK:UNK	Dave, aqui estão os nomes dos membros da mesa oeste por categoria. O lado da originação é muito esparso. Filipe
UNK:UNK	Paula, 35 milhões está bem, Phillip
UNK:UNK	Encaminhado por Phillip K Allen/HOU/ECT em 04/10/2000 16h23 ----- Enron North America Corp. De: Airam Arteaga 04/10/2000 12h23 Para: Phillip K Allen/HOU/ ECT@ECT, Thomas A Martin/HOU/ECT@ECT, Scott Neal/HOU/ECT@ECT, John Arnold/HOU/ECT@ECT, Grant Masson/HOU/ECT@ECT, Ted Murphy/HOU/ECT@ECT, Vladimir Gorny/HOU/ECT@ECT, Frank Hayden/Corp/Enron@Enron cc: Rita Hennessy/NA/Enron@Enron, Ina Rangel/HOU/ECT@ECT, Laura Harder/Corp/Enron@Enron, Kimberly Brown/HOU /ECT@ECT, Araceli Romero/NA/Enron@Enron, Kimberly Hillis/HOU/ECT@ect Assunto: Reunião Var, Relatórios e Recursos Planeje participar da reunião abaixo: Tópico: Reunião Var, Relatórios e Recursos Data: quarta-feira, 11 de outubro Horário: 14h30 - 15h30 Local: EB30C1 Se você tiver alguma dúvida/conflito, sinta-se à vontade para me ligar. Obrigado, chuva x.31560
UNK:UNK	Tim, Mike Grigsby está tendo problemas para acessar a central de energia oeste. Você pode verificar se ele tem uma senha ativa. Obrigado, Filipe
UNK:UNK	Encaminhado por Phillip K Allen/HOU/ECT em 03/10/2000 16h30 ----- George Richards <cbpres@austin.rr.com> em 03/10/2000 06h35:56 Por favor, responda a <cbpres@austin.rr.com> Para: Phillip Allen <pallen@enron.com> cc: Larry Lewter <retwell@mail.sanmarcos.net> Assunto: Westgate Westgate Estão incluídos dados demográficos no site Westgate da Investors Alliance. A Investors Alliance afirma que esses dados demográficos são semelhantes ao pacote sobre San Marcos que você recebeu anteriormente. Se houver outras dúvidas ou requisitos de informação, entre em contato. Então, deixe-me saber o seu nível de interesse no projeto Westgate. San Marcos O imóvel em frente às unidades Sagewood em San Marcos está à venda e aprovado para 134 unidades. O terreno está sendo vendido por US$ 2,50 por metro quadrado, pois é um dos dois únicos lotes multifamiliares aprovados restantes em West San Marcos, que agora tem uma moratória de desenvolvimento. Vários novos estudos que analisamos mostram que os aluguéis de nossos duplexes e dessas novas unidades serão significativamente mais altos, cerca de US$ 1,25 por pé quadrado se alugados para a unidade inteira em um contrato de 12 meses e US$ 1,30 a US$ 1,40 psf se alugados com prazo de 12 meses, mas em quarto individual. Esta propriedade terá a melhor localização para moradia estudantil de todos os novos projetos, assim como os duplex agora. Se este projeto for de grande interesse para você, por favor me avise, pois a janela de oportunidade é muito, muito curta. A exigência de capital ainda não é conhecida, mas seria provável que fosse de US$ 300.000 para garantir o terreno. Saberei mais sobre esta questão ainda hoje. Atenciosamente, George W. Richards Presidente, Creekside Builders, LLC - winmail.dat
UNK:UNK	Encaminhado por Phillip K Allen/HOU/ECT em 03/10/2000 16h13 ----- Nancy Hall@ENRON 02/10/2000 06h42 Para: Mark Whitt/NA/Enron@Enron, Phillip K Allen/HOU/ECT@ECT, Paul T Lucci/NA/Enron@Enron, Paul Bieniawski/Corp/Enron@ENRON, Tyrell Harrison/NA/Enron@Enron cc: Jean Mrha/NA/Enron@Enron, Ina Rangel/HOU /ECT@ECT, Monica Jackson/Corp/Enron@ENRON Assunto: Reunião sobre: ​​Estratégias de Armazenamento no Ocidente Haverá uma reunião na terça-feira, 10 de outubro, às 16h, na EB3270, sobre Estratégias de Armazenamento no Ocidente. Por favor, marque seus calendários. Obrigado! Atenciosamente, Nancy Hall ENA escritório em Denver 303-575-6490
UNK:UNK	Brenda, use o segundo cheque como pagamento de outubro. Se você já jogou fora, me avise para que eu possa enviar outro para você. Filipe
UNK:UNK	Acho que Fletch tem um bom CPA. Eu ainda estou fazendo o meu próprio.
UNK:UNK	Brenda, use o segundo cheque como meu pagamento de outubro. Tenho minha cópia do acordo original. Você quer que eu envie isso por fax para você? Filipe
UNK:UNK	Encaminhado por Phillip K Allen/HOU/ECT em 28/09/2000 13h09 ----- De: Phillip K Allen 28/09/2000 10h56 Liane, Como discutimos ontem, estou preocupado que possa foram uma tentativa de manipular o índice mensal de El Paso San Juan. Parece que um único comprador entrou no mercado em 26 e 27 de setembro e pagou acima dos preços de mercado (US$ 4,70 a US$ 4,80) pelo gás San Juan. No momento destas negociações, as ofertas de gás físico a preços significativamente mais baixos (10 a 15 cêntimos) foram ignoradas, a fim de estabelecer negociações mais elevadas para serem incluídas no cálculo do índice. Além disso, essas negociações estão em desacordo com os swaps financeiros associados para San Juan. Compilamos uma lista de negociações financeiras e físicas executadas de 25 a 27 de setembro. Estas são a lista completa de negociações da Enron Online (EOL), conversas telefônicas diretas da Enron e três corretoras (Amerex, APB e Prebon). Consulte a planilha em anexo para obter uma lista de comércio por comércio e um resumo. Também incluímos um resumo dos preços diários do gás para ilustrar o valor de San Juan com base em diversas relações de spread. Os dois pontos-chave destes dados são os seguintes: 1. Os altos preços físicos nos dias 26 e 27 (4,75,4,80) são muito maiores do que os altos negócios financeiros (4,6375,4,665) nesses dias. 2. A relação de spread entre San Juan e outros pontos (Socal e Noroeste) é consistente entre o final de setembro e o gás diário de outubro. Não faz sentido ter índices mensais dramaticamente diferentes. Entendo que você analisa as negociações enviadas em busca de valores discrepantes. Esperançosamente, as negociações enviadas revelarão os nomes das contrapartes e você será capaz de determinar que havia apenas um comprador na década de 4,70 e que essas negociações são atípicas. Queria dar-lhe alguns pontos de referência adicionais para ajudar no estabelecimento de um índice razoável. É crença da Enron que as negociações a US$ 4,70 e superiores foram acima das negociações de mercado que deveriam ser excluídas do cálculo do índice. É nosso desejo ter índices confiáveis ​​e precisos para conduzir nossos negócios físicos e financeiros. Entre em contato comigo sempre que puder ajudá-lo nesse objetivo. Atenciosamente, Phillip Allen
UNK:UNK	Liane, Conforme discutimos ontem, estou preocupado que tenha havido uma tentativa de manipulação do índice mensal de El Paso San Juan. Um único comprador entrou no mercado em 26 e 27 de setembro e pagou acima dos preços de mercado (US$ 4,70 a US$ 4,80) pelo gás de San Juan com a intenção de distorcer o índice. No momento destas negociações, as ofertas de gás físico a preços significativamente mais baixos (10 a 15 cêntimos) foram ignoradas, a fim de estabelecer negociações mais elevadas para serem incluídas no cálculo do índice. Além disso, essas negociações estão em desacordo com os swaps financeiros associados para San Juan. Compilamos uma lista de negociações financeiras e físicas executadas de 25 a 27 de setembro. Estas são a lista completa de negociações da Enron Online (EOL), conversas telefônicas diretas da Enron e três corretoras (Amerex, APB e Prebon). Consulte a planilha em anexo para obter uma lista de comércio por comércio e um resumo. Também incluímos um resumo dos preços diários do gás para ilustrar o valor de San Juan com base em diversas relações de spread. Os dois pontos-chave destes dados são os seguintes: 1. Os altos preços físicos nos dias 26 e 27 (4,75,4,80) são muito maiores do que os altos negócios financeiros (4,6375,4,665) nesses dias. 2. A relação de spread entre San Juan e outros pontos (Socal e Noroeste) é consistente entre o final de setembro e o gás diário de outubro. Não faz sentido ter índices mensais dramaticamente diferentes. Entendo que você analisa as negociações enviadas em busca de valores discrepantes. Esperançosamente, as negociações enviadas revelarão os nomes das contrapartes e você será capaz de determinar que havia apenas um comprador na década de 4,70 e que essas negociações são atípicas. Queria dar-lhe alguns pontos de referência adicionais para ajudar no estabelecimento de um índice razoável. É crença da Enron que as negociações a US$ 4,70 e superiores foram acima das negociações de mercado que deveriam ser excluídas do cálculo do índice. É nosso desejo ter índices confiáveis ​​e precisos contra os quais conduzir nossos negócios físicos e financeiros. Entre em contato comigo sempre que puder ajudá-lo nesse objetivo. Atenciosamente, Phillip Allen
